author_list,affiliation,organization_type
Megan A. Winget,Company 9,Company
Miles Efron,University 29,University
Oliver K. Burmeister,Company 20,Company
Blaise Cronin,University 29,University
Lokman I. Meho,Company 9,Company
Johann Bauer,University 6,University
Lutz Bornmann,University 19,University
Robin Haunschild,University 14,University
Carol L. Barry,Company 29,Company
Dalibor Fiala,Company 29,Company
Lovro Subelj,Company 27,Company
Devon L. Greyson,University 10,University
Amanda Spink,Company 15,Company
Charles Cole 0001,University 6,University
Gerald Benoît,Company 23,Company
Adriano Veloso,University 23,University
Alberto H. F. Laender,University 8,University
Anderson A. Ferreira,University 7,University
Marcos André Gonçalves,University 14,University
Tim Gorichanaz,University 11,University
Gregory B. Newby,Company 6,Company
Jane Greenberg,Company 23,Company
Paul Jones 0001,Company 3,Company
Chengliang Liu,Company 21,Company
Yunjie Xu,Company 9,Company
Lutz Bornmann,Company 6,Company
Robin Haunschild,University 13,University
Philip M. Davis,University 1,University
Suzanne A. Cohen,University 25,University
Esteban Romero-Frías,Company 26,Company
Liwen Vaughan,University 20,University
Jun Ma 0001,Company 18,Company
Luo Si,Company 6,Company
Pengjie Ren,Company 21,Company
Shuaiqiang Wang,Company 20,Company
Zhiwei Zhang,Company 12,Company
Zhumin Chen,Company 7,Company
Diane Rasmussen Neal,University 8,University
Camille Mathieu,Company 4,Company
Anni Järvelin,University 29,University
Eero Sormunen,Company 24,Company
Heikki Keskustalo,Company 6,Company
Kimmo Kettunen,University 19,University
Miamaria Saastamoinen,University 6,University
Ciriaco Andrea D'Angelo,Company 6,Company
Flavia Di Costa,University 18,University
Giovanni Abramo,University 8,University
Andrew B. Whinston,University 29,University
Ram Ramesh,Company 8,Company
T. S. Raghu 0001,University 21,University
Abdur Chowdhury,Company 3,Company
David A. Grossman,University 6,University
Eric C. Jensen,University 11,University
Nazli Goharian,Company 18,Company
Ophir Frieder,Company 1,Company
Steven M. Beitzel,University 6,University
Aixin Sun,University 13,University
Gao Cong,Company 3,Company
Zongyang Ma,Company 17,Company
Eduardo Figueredo,Company 5,Company
Hyun Hee Kim,Company 20,Company
Songhua Xu,University 24,University
Yang Liu 0046,University 8,University
Michael Schreiber,Company 7,Company
Christopher Peter Lueg,University 26,University
Diane Kelly 0001,University 5,University
John Cullen,Company 10,Company
Hsinchun Chen,University 22,University
Mihail C. Roco,Company 6,Company
Qiang Gao,Company 7,Company
Shan Jiang 0002,University 12,University
Cihan Kaynak,Company 5,Company
Erman Balcik,Company 10,Company
Fazli Can,University 1,University
Huseyin Cagdas Öcalan,University 17,University
Onur M. Vursavas,University 13,University
Seyit Kocberber,University 4,University
Naren Ramakrishnan,Company 8,Company
Saverio Perugini,Company 17,Company
Irene Lopatovska,University 10,University
Jacek Gwizdka,Company 9,Company
Leo Egghe,University 4,University
Ronald Rousseau 0001,University 4,University
Ronald Rousseau 0001,University 24,University
Jeppe Nicolaisen,Company 14,Company
Tove Faber Frandsen,University 4,University
Laurel Tarulli,University 11,University
Bing He 0003,Company 16,Company
Daifeng Li,University 2,University
Jie Tang 0001,Company 4,Company
Juanzi Li,Company 30,Company
Nan Lin,University 6,University
Tianxi Dong,University 6,University
Ying Ding 0001,Company 29,Company
Zheng Qin,Company 5,Company
Arun Vishwanath,University 17,University
Carol L. Barry,University 7,University
Lior Rokach,Company 20,Company
Nir Ofek,Company 23,Company
Angelo Di Iorio,Company 9,Company
Fabio Vitali,University 28,University
Silvio Peroni,Company 6,Company
Fred Y. Ye,University 21,University
Lutz Bornmann,Company 19,Company
Carol Tenopir,University 19,University
Donald W. King,Company 9,Company
Keri-Lynn Paulson,Company 5,Company
Matt Grayson,University 28,University
Peter B. Boyce,Company 23,Company
Hans-Jörg Rheinberger,Company 21,Company
Philip M. Davis,Company 25,Company
Gary Hsieh,Company 13,Company
Kellogg S. Booth,University 21,University
Syavash Nobarany,Company 29,Company
Jaakko Peltonen,University 5,University
Jani Marjanen,Company 3,Company
Jussi Kurunmäki,Company 18,Company
Jyrki Nummenmaa,University 23,University
Kari Teräs,Company 15,Company
Kirsi Sandberg,University 26,University
Mari Hatavara,University 12,University
Matti Hyvärinen,University 1,University
Mykola Andrushchenko,University 23,University
Risto Turunen,Company 18,Company
Timo Nummenmaa,Company 9,Company
Lai Ma,University 23,University
Javed Mostafa,University 10,University
Antonio Gabriel López-Herrera,Company 16,Company
Enrique Herrera-Viedma,University 19,University
Francisco Herrera,Company 11,Company
Manuel J. Cobo,University 12,University
Amanda Spink,Company 30,Company
Charles Cole 0001,University 25,University
Patricia Galloway,University 7,University
Karen Markey,University 28,University
Rebecca D. Frank,Company 13,Company
Alexandre Cappellozza,University 13,University
Cristiano Morini,Company 20,Company
Danilo Soares-Silva,Company 22,Company
Gustavo Hermínio Salati Marcondes de Moraes,University 26,University
Eero Sormunen,Company 28,Company
Jannica Heinström,Company 21,Company
Mikko Tanni,University 20,University
Tuulikki Alamettälä,University 13,University
Grace Fox,Company 3,Company
Ekaterina Lapshinova-Koltunski,Company 9,Company
Elke Teich,University 21,University
Hannah Kermes,University 3,University
Peter Fankhauser,Company 10,Company
Stefania Degaetano-Ortlieb,University 7,University
Robert Hovden,University 11,University
Caroline S. Wagner,Company 12,Company
Fred Phillips,Company 29,Company
Igone Porto Gómez,University 25,University
Jordan A. Comins,Company 1,Company
Loet Leydesdorff,University 1,University
Feng Wang 0037,Company 24,Company
Jun Chen,University 3,University
Xiao-Liang Shen,University 21,University
Yangjun Li,Company 4,Company
Yongqiang Sun,University 2,University
Stephen J. Bensman,University 16,University
Pertti Vakkari,University 9,University
Bo Xu 0009,Company 16,Company
Hongfei Lin,University 28,University
Yuan Lin 0001,University 1,University
Vincent Larivière,Company 19,Company
Yves Gingras,University 16,University
Andrej Sorgo,University 18,University
Bojana Boh Podgornik,University 1,University
Danica Dolnicar,University 21,University
Tomaz Bartol,University 25,University
Paul Wouters,University 19,University
Thomas Franssen,Company 22,Company
Christopher C. Yang,University 13,University
Loet Leydesdorff,Company 15,Company
Stephen J. Bensman,University 29,University
Chirag Shah,University 15,University
Lynn Silipigni Connaway,Company 20,Company
Marie L. Radford,Company 15,Company
Mark Alpert,University 1,University
Nicole A. Cooke,Company 8,Company
Stephanie Mikitish,Company 1,Company
Chaim Zins,Company 22,Company
Marianne Afifi,University 13,University
Carol L. Barry,University 11,University
Donald Owen Case,Company 16,Company
Joseph B. Miller,University 29,University
Chad Mortensen,University 27,University
Patricia Hardré,Company 20,Company
Jin Bihui,Company 20,Company
Loet Leydesdorff,University 5,University
Carol L. Barry,Company 30,Company
Hans-Dieter Daniel,University 8,University
Rüdiger Mutz,Company 17,Company
Tobias Wolbring,University 19,University
Helen R. Tibbo,University 14,University
Lokman I. Meho,University 27,University
Amber L. Cushing,University 8,University
Frederico T. Fonseca,Company 22,Company
Gilberto Câmara,Company 1,Company
Judit Bar-Ilan,Company 28,Company
Ciriaco Andrea D'Angelo,University 26,University
Cristiano Giuffrida,Company 18,Company
Giovanni Abramo,University 20,University
José María Martínez Sanchez,University 26,University
Arto Lanamäki,Company 15,Company
Chitu Okoli,Company 29,Company
Finn Årup Nielsen,Company 1,Company
Mohamad Mehdi,Company 8,Company
Mostafa Mesgari,Company 5,Company
Paul Conway,Company 1,Company
Yinian Gu,University 24,University
Ashley Sara Aw,Company 14,Company
Han Zheng,University 25,University
Htet Htet Aung,University 24,University
Mojisola Erdt,University 24,University
Sei-Ching Joanna Sin,Company 27,Company
Yin-Leng Theng,University 29,University
Emile L. Morse,University 9,University
Paul B. Kantor,University 28,University
Ying Sun,University 27,University
Ludo Waltman,University 16,University
Nees Jan van Eck,Company 5,Company
Mustafa Sahiner,Company 24,Company
Umut Al,Company 9,Company
Yasar Tonta,Company 6,Company
Darrell Cook,Company 20,Company
Jeffrey Laut,University 15,University
Maurizio Porfiri,Company 29,Company
Oded Nov,University 29,University
Suresh K. Bhavnani,University 13,University
Camille Prime-Claverie,Company 19,Company
Michel Beigbeder,University 24,University
Thierry Lafouge,Company 5,Company
Jeff Naidoo,University 26,University
Jeffrey T. Huber,University 13,University
Pamela Cupp,University 1,University
Qishan Wu,University 12,University
Jainabou Barry Danfa,Company 17,Company
Mengyi Sun,University 27,University
Misha Teplitskiy,University 21,University
Alesia A. Zuccala,University 5,University
Bernd T. Wunsch,Company 3,Company
Kasper Bruun,Company 18,Company
Mads Breum,Company 30,Company
Esteban Romero-Frías,University 30,University
Liwen Vaughan,Company 10,Company
Bo-Christer Björk,Company 23,Company
Bo-Christer Björk,Company 12,Company
Mikael Laakso,Company 2,Company
Patrik Paetau,Company 18,Company
Patrik Welling,University 15,University
Ronald N. Kostoff,Company 14,Company
Vivian Cothey,Company 16,Company
Laila Seewang,University 30,University
Hyun Seung Lee,University 24,University
Iris Xie,Company 20,Company
Rakesh Babu,University 17,University
Shengang Wang,University 20,University
Tae Hee Lee,University 21,University
Marie L. Radford,Company 22,Company
Brice Austin,Company 29,Company
Andrew Morrison,Company 13,Company
Arthur Mitchell Fraas,Company 1,Company
Athanasios Velios,University 5,University
Benjamin Heller,Company 10,Company
David Lewis 0003,Company 28,Company
Doug Emery,University 17,University
Eero Hyvönen,University 13,University
Emma Cawlfield Thomson,University 29,University
Esko Ikkala,University 23,University
Guillaume Porte,Company 27,Company
Hanno Wijsman,Company 15,Company
Jouni Tuominen,Company 14,Company
Kevin R. Page,University 28,University
Lynn Ransom,University 29,University
Mikko Koho,Company 15,Company
Toby Burrows,University 28,University
Julian Warner,Company 20,Company
Barend Mons,University 19,University
C. Christiaan van der Eijk,University 6,University
Erik M. van Mulligen,Company 27,Company
Jan A. Kors,University 23,University
Jan van den Berg,Company 9,Company
Alice Robbin,University 26,University
Wayne Buente,Company 25,Company
Eric T. Meyer,University 5,University
Kalpana Shankar,Company 18,Company
Matthew Willis 0001,University 27,University
Sarika Sharma,Company 25,Company
Steve Sawyer,Company 5,Company
Gangan Prathap,Company 24,Company
Dale A. Stirling,Company 3,Company
Judd Antin,Company 28,Company
Matthew Earp,Company 10,Company
Petr Heneberg,Company 16,Company
Brian Detlor,Company 17,Company
Maureen E. Hupfer,Company 6,Company
Loo Geok Pee,Company 23,Company
Mingwei Li,University 16,University
Shan L. Pan,Company 30,Company
Suling Jia,Company 16,Company
Ouyang You,University 6,University
Qin Lu 0001,University 13,University
Sujian Li,University 2,University
Wenjie Li 0002,University 7,University
Fang Wang,University 26,University
Ying Ding 0001,Company 15,Company
Yujia Zhai,Company 4,Company
Vivienne Waller,University 13,University
Catherine Guastavino,Company 8,Company
Jacek Gwizdka,Company 22,Company
Shu-Lan Hsu,Company 4,Company
Yi-Ning Tu,Company 15,Company
Kevin M. Ford,Company 10,Company
Elisa Gambetti,Company 16,Company
Fiorella Giusberti,Company 27,Company
Laura Piccardi,University 28,University
Massimiliano Palmiero,University 4,University
Raffaella Nori,Company 21,Company
Kalervo Järvelin,University 23,University
Pertti Vakkari,Company 20,Company
Yu-Wei Chang,University 26,University
Antonia Ferrer-Sapena,Company 28,Company
Enrique Alfonso Sánchez-Pérez,University 21,University
Fernanda Garzón-Farinós,Company 16,Company
Fernanda Peset,Company 19,Company
José Luis Toca-Herrera,Company 4,Company
Luis Millan González Moreno,Company 11,Company
Xavier García-Massó,Company 1,Company
Miles Efron,University 24,University
Pertti Vakkari,University 28,University
Saila Huuskonen,Company 6,Company
Olof Sundin,University 3,University
Anne-Marie Oostveen,Company 12,Company
Asimina Vasalou,Company 20,Company
Chris P. Bowers,University 14,University
Russell Beale,Company 30,Company
Christos Papatheodorou,University 16,University
Giannis Tsakonas,University 25,University
Carol L. Barry,University 16,University
Carlos Gómez-Rodríguez,University 27,University
Yerai Doval,University 9,University
Encarnación Jurado-Alameda,Company 30,Company
Rafael Bailón-Moreno,Company 12,Company
Rosario Ruiz-Baños,University 30,University
Amalia Más-Bleda,University 18,University
Anne Burns,Company 21,Company
Emma Stuart,University 27,University
Farida Vis,Company 19,Company
Francesco D'Orazio,Company 12,Company
Jim Aulich,Company 23,Company
Mike Thelwall,University 19,University
Olga Goriunova,University 11,University
Simon Faulkner,University 15,University
Katja Hofmann,Company 9,Company
Krisztian Balog,University 11,University
Maarten de Rijke,Company 30,Company
Toine Bogers,Company 28,Company
Elizabeth A. Buchanan,Company 21,Company
Michael Schreiber,University 8,University
Cathy Larson,University 1,University
Hsinchun Chen,Company 6,Company
Paul Jen-Hwa Hu,Company 27,Company
Susan A. Brown,University 23,University
Yan Dang 0001,Company 8,Company
Yulei Zhang 0001,University 3,University
Anita Coleman,Company 21,Company
Sally Burford,University 4,University
Liwen Qiu Vaughan,Company 2,Company
Mike Thelwall,University 13,University
Daphne R. Raban,Company 14,Company
David Bodoff,Company 17,Company
James Howison,Company 4,Company
Julia Bullard,Company 23,Company
Denise E. Agosto,Company 25,Company
Atreyi Kankanhalli,Company 2,Company
Bernard C. Y. Tan,University 5,University
Kwok Kee Wei,Company 7,Company
Evaristo Jiménez-Contreras,University 29,University
José Pino-Díaz,University 21,University
Rafael Bailón-Moreno,University 21,University
Rosario Ruiz-Baños,Company 21,Company
John W. Fritch,University 2,University
Robert L. Cromwell,Company 20,Company
Chei Sian Lee,Company 24,Company
Dion Hoe-Lian Goh,Company 25,Company
Edmund Wei Jian Lee,Company 21,Company
Han Zheng,University 11,University
